Ex_Div,Pay_date,Dividends,Declared,Record
6/18/2015,7/27/2015,0.23,6/5/2015,6/22/2015
2/19/2015,4/27/2015,0.23,2/6/2015,2/23/2015
12/18/2014,1/26/2015,0.23,12/12/2014,12/22/2014
9/18/2014,10/27/2014,0.22,9/5/2014,9/22/2014
6/23/2014,7/25/2014,0.22,6/6/2014,6/23/2014
2/20/2014,4/25/2014,0.22,2/7/2014,2/24/2014
12/19/2013,1/27/2014,0.22,12/13/2013,12/23/2013
9/19/2013,10/25/2013,0.19,9/13/2013,9/23/2013
6/20/2013,7/25/2013,0.19,6/14/2013,6/24/2013
2/21/2013,4/25/2013,0.19,2/15/2013,2/25/2013
12/20/2012,1/25/2013,0.19,12/14/2012,12/24/2012
9/20/2012,10/25/2012,0.17,9/7/2012,9/24/2012
6/21/2012,7/25/2012,0.17,6/8/2012,6/25/2012
2/23/2012,4/25/2012,0.17,2/10/2012,2/27/2012
12/22/2011,1/25/2012,0.17,12/9/2011,12/27/2011
9/15/2011,10/25/2011,0.15,9/2/2011,9/19/2011
6/16/2011,7/25/2011,0.15,4/21/2011,6/20/2011
2/24/2011,4/25/2011,0.14,2/11/2011,2/28/2011
12/22/2010,1/25/2011,0.14,12/10/2010,12/27/2010
9/16/2010,10/25/2010,0.12,7/23/2010,9/20/2010
6/17/2010,7/26/2010,0.1,6/11/2010,6/21/2010
2/25/2010,4/26/2010,0.1,2/12/2010,3/1/2010
12/23/2009,1/25/2010,0.1,12/15/2009,12/28/2009
9/17/2009,10/26/2009,0.1,9/4/2009,9/21/2009
6/18/2009,7/27/2009,0.1,6/12/2009,6/22/2009
2/19/2009,4/27/2009,0.31,2/6/2009,2/23/2009
12/24/2008,1/26/2009,0.31,12/16/2008,12/29/2008
9/18/2008,10/27/2008,0.31,8/22/2008,9/22/2008
6/19/2008,7/25/2008,0.31,6/6/2008,6/23/2008
2/21/2008,4/25/2008,0.31,2/8/2008,2/25/2008
12/20/2007,1/25/2008,0.31,12/11/2007,12/24/2007
9/20/2007,10/25/2007,0.28,9/7/2007,9/24/2007
6/21/2007,7/25/2007,0.28,6/8/2007,6/25/2007
2/22/2007,4/25/2007,0.28,2/9/2007,2/26/2007
12/21/2006,1/25/2007,0.28,12/12/2006,12/26/2006
9/21/2006,10/25/2006,0.25,9/8/2006,9/25/2006
6/22/2006,7/25/2006,0.25,6/9/2006,6/26/2006
2/23/2006,4/25/2006,0.25,2/10/2006,2/27/2006
12/22/2005,1/25/2006,0.25,11/18/2005,12/27/2005
9/22/2005,10/25/2005,0.22,9/16/2005,9/26/2005
6/23/2005,7/25/2005,0.22,6/10/2005,6/27/2005
2/24/2005,4/25/2005,0.22,2/11/2005,2/28/2005
12/22/2004,1/25/2005,0.22,12/10/2004,12/27/2004
9/23/2004,10/25/2004,0.2,9/17/2004,9/27/2004
6/24/2004,7/26/2004,0.2,6/11/2004,6/28/2004
2/26/2004,4/26/2004,0.2,2/13/2004,3/1/2004
12/29/2003,1/26/2004,0.2,12/12/2003,12/31/2003
9/25/2003,10/27/2003,0.19,9/12/2003,9/29/2003
6/26/2003,7/25/2003,0.19,6/13/2003,6/30/2003
2/26/2003,4/25/2003,0.19,2/14/2003,2/28/2003
12/27/2002,1/27/2003,0.19,12/13/2002,12/31/2002
9/25/2002,10/25/2002,0.18,9/13/2002,9/27/2002
6/26/2002,7/25/2002,0.18,6/14/2002,6/28/2002
2/27/2002,4/25/2002,0.18,2/15/2002,3/1/2002
12/27/2001,1/25/2002,0.18,12/14/2001,12/31/2001
9/26/2001,10/25/2001,0.16,9/7/2001,9/28/2001
7/5/2001,7/25/2001,0.16,6/22/2001,7/9/2001
3/5/2001,4/25/2001,0.16,2/9/2001,3/7/2001
12/27/2000,1/25/2001,0.16,12/15/2000,12/29/2000
9/29/2000,10/25/2000,0.136667,9/22/2000,10/3/2000
7/5/2000,7/25/2000,0.136667,6/23/2000,7/7/2000
3/6/2000,4/25/2000,0.41,2/11/2000,3/8/2000
12/22/1999,1/25/2000,0.41,12/17/1999,12/27/1999
9/28/1999,10/25/1999,0.35,9/10/1999,9/30/1999
7/6/1999,7/26/1999,0.35,6/17/1999,7/8/1999
3/4/1999,4/26/1999,0.35,2/12/1999,3/8/1999
12/29/1998,1/25/1999,0.35,12/18/1998,12/31/1998
9/28/1998,10/26/1998,0.3,9/11/1998,9/30/1998
7/6/1998,7/27/1998,0.3,6/26/1998,7/8/1998
3/5/1998,4/27/1998,0.3,2/13/1998,3/9/1998
12/29/1997,1/26/1998,0.3,12/19/1997,12/31/1997
9/26/1997,10/27/1997,0.26,9/12/1997,9/30/1997
7/2/1997,7/25/1997,0.26,6/27/1997,7/7/1997
3/4/1997,4/25/1997,0.52,2/7/1997,3/6/1997
12/27/1996,1/27/1997,0.52,12/19/1996,12/31/1996
9/26/1996,10/25/1996,0.46,9/13/1996,9/30/1996
7/1/1996,7/25/1996,0.46,6/21/1996,7/3/1996
3/4/1996,4/25/1996,0.46,2/9/1996,3/6/1996
12/27/1995,1/25/1996,0.46,12/15/1995,12/29/1995
